,size,duration
1698,5,2
1699,18,2
1700,70,3
1701,3,2
1702,2,2
1703,2,2
1704,3,2
1705,4,2
1706,2,2
1707,2,2
1708,3,2
1709,2,2
1710,3,2
1711,4,2
1712,2,2
1713,135,4
1714,2,2
1715,110,4
1716,1724,7
1717,18,2
1718,9,2
1719,6702,10
1720,12,2
1721,13,2
1722,5,2
1723,15,2
1724,6,2
1725,2,2
1726,7242,10
1727,2,2
1728,2,2
1729,3,2
1730,4,2
1731,4,2
1732,3,2
1733,4,2
1734,3,2
1735,3,2
1736,6,2
1737,6,2
1738,5,2
1739,5,2
1740,6,2
1741,7,2
1742,9,2
1743,8,2
1744,9,2
1745,9,2
1746,8,2
1747,12,2
1748,12,2
1749,5,2
1750,3,2
1751,2,2
1752,6,2
1753,8272,10
1754,7,2
1755,2,2
1756,23,2
1757,27,2
1758,27,2
1759,10,2
1760,12,2
1761,6,2
1762,9,2
1763,13,2
1764,21,2
1765,3,2
1766,2,2
1767,9,2
1768,14,2
1769,17,2
1770,5,2
1771,7604,11
1772,5,2
1773,12,2
1774,10,2
1775,3,2
1776,6,2
1777,8251,11
1778,2,2
1779,12,2
1780,10,2
1781,4,2
1782,17574,19
1783,16,2
1784,19,2
1785,6,2
1786,3,2
1787,12,2
1788,14,2
1789,12,2
1790,12,2
1791,2,2
1792,8,2
1793,12,2
1794,4,2
1795,4,2
1796,4,2
1797,6,2
1798,4,2
1799,2,2
1800,3,2
1801,11,2
1802,3495413,944
1803,3,2
1804,3,2
1805,3,2
1806,2,2
1807,3,2
1808,2,2
1809,3,2
1810,2,2
1811,3,2
1812,6,2
1813,5,2
1814,3,2
1815,12,2
1816,11,2
1817,8,2
1818,5,2
1819,9,2
1820,11,2
1821,11,2
1822,2,2
1823,3,2
1824,5,2
1825,7,2
1826,7,2
1827,2,2
1828,3,2
1829,3,2
1830,3,2
1831,2,2
1832,2,2
1833,2,2
1834,2,2
1835,2,2
1836,2,2
1837,4,2
1838,7,2
1839,6,2
1840,3,2
1841,11,2
1842,9,2
1843,5,2
1844,2,2
1845,13,2
1846,7,2
1847,4,2
1848,9,2
1849,5,2
1850,9,2
1851,6,2
1852,8,2
1853,7,2
1854,7,2
1855,39,3
1856,51,3
1857,4596,8
1858,17,2
1859,3,2
1860,14,2
1861,4,2
1862,5389,8
1863,19,2
1864,22,2
1865,6,2
1866,18,2
1867,13005,17
1868,22,2
1869,13,2
1870,4,2
1871,7149,9
1872,13,2
1873,5,2
1874,5,2
1875,7147,10
1876,5,2
1877,5,2
1878,3,2
1879,5,2
1880,4,2
1881,4,2
1882,17,2
1883,9,2
1884,5,2
1885,2,2
1886,2,2
1887,2,2
1888,2,2
1889,2,2
1890,2,2
1891,15,2
1892,17,2
1893,11,2
1894,7,2
1895,7,2
1896,2,2
1897,10,2
1898,6,2
1899,10,2
1900,4,2
1901,5,2
1902,4,2
1903,10,2
1904,3572171,957
1905,21,2
1906,14,2
1907,25,2
1908,15,2
1909,5,2
1910,3,2
1911,9,2
1912,8,2
1913,3587,7
1914,17,2
1915,5,2
1916,19,2
1917,5,2
1918,8,2
1919,12,2
1920,5,2
1921,7,2
1922,2,2
1923,3,2
1924,4,2
1925,2,2
1926,4,2
1927,5,2
1928,2,2
1929,3,2
1930,5,2
1931,6,2
1932,3,2
1933,17,2
1934,3,2
1935,3,2
1936,3,2
1937,3,2
1938,2,2
1939,6,2
1940,4,2
1941,4,2
1942,2,2
1943,4,2
1944,3,2
1945,2,2
1946,3,2
1947,3,2
1948,2,2
1949,2,2
1950,8,2
1951,14,2
1952,5,2
1953,9,2
1954,4,2
1955,7,2
1956,9,2
1957,5,2
1958,5,2
1959,3,2
1960,3,2
1961,46,3
1962,6,2
1963,11,2
1964,2,2
1965,7,2
1966,8,2
1967,17,2
1968,9,2
1969,3670416,994
1970,16,2
1971,2,2
1972,20,2
1973,7,2
1974,9,2
1975,6,2
1976,7,2
1977,2,2
1978,2,2
1979,9,2
1980,9,2
1981,5,2
1982,7,2
1983,5,2
1984,5,2
1985,3,2
1986,2,2
1987,4,2
1988,3,2
1989,2,2
1990,2,2
1991,2,2
1992,2,2
1993,2,2
1994,2,2
1995,3,2
1996,3,2
1997,2,2
1998,2,2
1999,2,2
2000,4,2
2001,5,2
2002,4,2
2003,4,2
2004,3,2
2005,4,2
2006,5,2
2007,5,2
2008,5,2
2009,3,2
2010,2,2
2011,4,2
2012,5,2
2013,5,2
2014,4,2
2015,2,2
2016,3,2
2017,5,2
2018,5,2
2019,5,2
2020,4,2
2021,4,2
2022,5,2
2023,5,2
2024,6,2
2025,5,2
2026,2,2
2027,3,2
2028,3,2
2029,4,2
2030,4,2
2031,3,2
2032,2,2
2033,2,2
2034,2,2
2035,2,2
2036,3,2
2037,3,2
2038,3,2
2039,3071,7
2040,16,2
2041,8,2
2042,19,2
2043,5752,8
2044,20,2
2045,17,2
2046,11,2
2047,6,2
2048,6,2
2049,2,2
2050,14,2
2051,20,2
2052,17,2
2053,25,2
2054,7,2
2055,16,2
2056,17,2
2057,3,2
2058,11,2
2059,6,2
2060,2,2
2061,5,2
2062,8,2
2063,5,2
2064,8,2
2065,7,2
2066,8,2
2067,5,2
2068,7,2
2069,6,2
