run,evalanche_size,evalanche_duration,density,cooldown,branching_ratio,emperical_branching_ratio
1,"[9, 0, 0, 6, 2, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0]","[6, 0, 0, 5, 2, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0]",0.00010989010989010989,0,0.7192249441438314,0.41304347826086957
2,"[10, 0, 2, 1, 0, 0, 1, 4, 10, 7, 3, 4, 2, 1]","[6, 0, 2, 1, 0, 0, 1, 3, 7, 6, 2, 3, 2, 1]",0.0001198801198801199,0,0.7192249441438314,0.7297297297297297
3,"[0, 7, 3, 5, 6, 1, 0, 0, 1]","[0, 6, 1, 4, 4, 1, 0, 0, 1]",0.0,0,0.7192249441438314,0.7692307692307693
4,"[0, 1, 1, 9, 2, 0, 0, 6, 0, 0]","[0, 1, 1, 6, 2, 0, 0, 3, 0, 0]",0.00013986013986013983,0,0.7192249441438314,0.5256410256410257
5,"[8, 1, 0, 0]","[5, 1, 0, 0]",0.00010989010989010989,0,0.7192249441438314,0.0
6,"[0, 12, 0, 0, 2, 0, 1]","[0, 8, 0, 0, 1, 0, 1]",0.00013986013986013986,0,0.7192249441438314,0.42857142857142855
7,"[1, 2, 6, 0, 1, 0, 2, 1]","[1, 1, 4, 0, 1, 0, 2, 1]",1.998001998001998e-05,0,0.7192249441438314,0.6777777777777777
8,"[8, 2, 0, 10, 1, 9, 13, 1, 3, 5]","[5, 2, 0, 7, 1, 6, 9, 1, 3, 4]",0.00010989010989010989,0,0.7192249441438314,0.9099099099099098
9,"[1, 0, 0, 2, 0, 1, 2, 0, 3, 0, 0, 1, 4, 3, 0, 0]","[1, 0, 0, 1, 0, 1, 2, 0, 3, 0, 0, 1, 3, 3, 0, 0]",0.0,0,0.7192249441438314,0.5483870967741935
0,"[1, 2, 0, 0, 0, 9, 0, 0, 1, 7, 4]","[1, 2, 0, 0, 0, 7, 0, 0, 1, 5, 3]",1.998001998001998e-05,1,0.7192249441438314,0.6358024691358024
1,"[11, 17, 0, 1, 2, 2, 1, 0, 0, 0]","[10, 10, 0, 1, 2, 2, 1, 0, 0, 0]",0.0,1,0.7192249441438314,0.7452380952380953
2,"[0, 13, 0, 3, 1, 14, 0, 3, 0, 1, 1, 1, 3]","[0, 10, 0, 2, 1, 8, 0, 2, 0, 1, 1, 1, 2]",0.0001998001998001998,1,0.7192249441438314,0.7182539682539681
3,"[0, 9, 13, 0, 1, 7, 9, 2]","[0, 8, 10, 0, 1, 5, 6, 2]",0.0,1,0.7192249441438314,0.9054054054054054
4,"[0, 4, 1, 3, 2, 1, 0, 1, 1, 4, 0, 0]","[0, 3, 1, 2, 1, 1, 0, 1, 1, 2, 0, 0]",0.0,1,0.7192249441438314,0.6
5,"[5, 0, 2, 20, 0, 3, 1, 8]","[3, 0, 1, 13, 0, 2, 1, 6]",0.0,1,0.7192249441438314,0.9057471264367816
6,"[1, 0, 4, 28, 0, 4, 2, 1]","[1, 0, 3, 20, 0, 3, 2, 1]",1.998001998001998e-05,1,0.7192249441438314,0.8950617283950616
7,"[1, 2, 4, 1, 0, 2, 0, 0, 0, 0, 6, 0, 0]","[1, 2, 3, 1, 0, 1, 0, 0, 0, 0, 4, 0, 0]",0.0,1,0.7192249441438314,0.58
8,"[1, 1, 0, 0, 0, 1, 6, 0, 0, 2]","[1, 1, 0, 0, 0, 1, 4, 0, 0, 1]",0.0,1,0.7192249441438314,0.574074074074074
9,"[0, 0, 1, 0, 0, 0, 3, 3, 17, 2, 3, 0, 0, 1]","[0, 0, 1, 0, 0, 0, 2, 3, 14, 1, 3, 0, 0, 1]",0.0,1,0.7192249441438314,0.7072072072072071
0,"[1, 0, 1, 0, 0, 3, 2]","[1, 0, 1, 0, 0, 3, 2]",0.0,3,0.7192249441438314,0.5
1,"[0, 0, 9, 1, 0, 6, 0, 0, 0, 1]","[0, 0, 8, 1, 0, 5, 0, 0, 0, 1]",0.0001198801198801199,3,0.7192249441438314,0.5384615384615384
2,"[1, 4, 0, 5, 3, 4, 2, 1, 1, 0]","[1, 3, 0, 2, 2, 2, 2, 1, 1, 0]",7.992007992007992e-05,3,0.7192249441438314,0.7745098039215685
3,"[1, 4, 6, 2, 0, 0, 8, 1, 1, 0, 6]","[1, 3, 4, 1, 0, 0, 4, 1, 1, 0, 4]",0.00013986013986013986,3,0.7192249441438314,0.7291666666666667
4,"[9, 0, 0, 0, 0, 0, 2, 3]","[7, 0, 0, 0, 0, 0, 2, 3]",9.99000999000999e-05,3,0.7192249441438314,0.4166666666666667
5,"[1, 0, 1, 0, 2, 3, 11, 0, 12, 0, 1, 0, 0, 27]","[1, 0, 1, 0, 2, 2, 7, 0, 7, 0, 1, 0, 0, 17]",1.998001998001998e-05,3,0.7192249441438314,0.7906504065040649
6,"[4, 3, 0, 1, 0, 0, 1, 4, 0, 1, 1]","[3, 2, 0, 1, 0, 0, 1, 4, 0, 1, 1]",4.995004995004995e-05,3,0.7192249441438314,0.55
7,"[3, 4, 1, 3, 0, 5]","[3, 3, 1, 3, 0, 4]",3.996003996003996e-05,3,0.7192249441438314,0.7352941176470589
8,"[0, 0, 0, 1, 2, 1, 3, 9, 0, 0, 0]","[0, 0, 0, 1, 1, 1, 2, 5, 0, 0, 0]",0.0,3,0.7192249441438314,0.5833333333333334
